,index,id_str,inside_cluster,temperatura,umidade,temperatura_ponto_orvalho,pressao_atmosferica,precipitacao,related,is_alag
143,7117,822552960886566912,1,22.6,75.0,17.9,927.3,0.0,1,1.0
144,8442,874591649820749825,1,14.0,89.0,12.2,930.8,1.4,1,1.0
145,6415,974142712910962688,1,19.7,88.0,17.7,926.5,3.4,1,1.0
146,7686,835307560328519685,1,19.5,80.0,15.9,925.7,0.0,1,1.0
147,7417,827275103444439040,1,24.9,61.0,16.9,921.9,0.0,1,1.0
148,6338,918197190941708288,1,28.8,39.0,13.7,923.3,0.0,1,1.0
149,8545,918202009001562112,1,28.8,39.0,13.7,923.3,0.0,1,1.0
150,8559,923506620222595073,1,18.3,80.0,14.8,924.3,0.0,1,1.0
151,6091,822924786280124417,1,18.0,91.0,16.5,926.8,6.2,1,1.0
152,6394,958135439248019458,1,19.1,88.0,17.1,922.1,12.4,1,1.0
153,6548,796819778568646661,1,24.4,70.0,18.6,923.0,0.0,1,1.0
154,9709,803530705984778241,1,20.3,89.0,18.3,924.4,0.2,1,1.0
155,6571,797872518182768641,1,18.3,87.0,16.1,923.5,1.4,1,1.0
156,8258,865578550669189121,1,16.809677419354838,83.83870967741936,13.977419354838707,923.8806451612904,1.0387096774193547,1,1.0
157,9704,827275103444439040,1,24.9,61.0,16.9,921.9,0.0,1,1.0
158,10234,1049549635293917186,1,18.7,90.0,17.0,923.3,2.0,1,1.0
159,8904,969278319081545728,1,27.8,59.0,19.1,924.9,0.0,1,1.0
160,9183,1046932645714825216,1,19.9,82.0,16.7,926.3,0.0,1,1.0
161,7116,822552536578134016,1,22.6,75.0,17.9,927.3,0.0,1,1.0
162,8467,897611013960413185,1,14.5,82.0,11.6,928.6,0.0,1,1.0
163,8305,865726443589971968,1,18.196774193548386,77.38709677419354,14.074193548387097,925.1064516129032,0.5870967741935483,1,1.0
164,7438,827997297279655945,1,21.7,83.0,18.7,922.7,3.4,1,1.0
165,6432,1006824432164360194,1,18.1,88.0,16.2,927.3,4.2,1,1.0
166,5993,817838276518248448,1,22.3,92.0,20.9,925.9,0.8,1,1.0
167,7395,826868688364126209,1,21.9,73.0,16.8,923.7,0.0,1,1.0
168,6693,808432980230369280,1,20.4,85.0,17.8,920.4,0.0,1,1.0
169,8445,874603862526578688,1,14.4,89.0,12.6,931.1,0.6,1,1.0
170,7410,827204853923450883,1,22.4,71.0,17.0,923.4,0.4,1,1.0
171,7124,822560781187293184,1,22.6,75.0,17.9,927.3,0.0,1,1.0
172,7604,835223715864539136,1,19.0,88.0,17.0,924.9,11.6,1,1.0
173,8224,860651318549065728,1,16.0,83.0,13.2,929.0,1.8,1,1.0
174,8381,871833937823322114,1,17.9,89.0,16.1,928.2,4.0,1,1.0
175,6520,796504461577334784,1,18.9,85.0,16.3,925.5,0.0,1,1.0
176,9438,824957684940210176,1,24.1,69.0,18.2,927.9,0.0,1,1.0
177,9501,899325704097103873,1,14.9,87.0,12.8,926.9,0.6,1,1.0
178,9009,976227606138892288,1,20.5,82.0,17.4,925.8,3.2,1,1.0
179,9578,1055483054116941824,1,20.0,82.0,16.9,925.8,0.8,1,1.0
180,7091,822410756700471296,1,19.3,89.0,17.4,929.6,2.0,1,1.0
181,6307,866625857015689217,1,19.51136363636364,75.0,15.0,927.75,0.0,1,1.0
182,7603,835223076891725824,1,19.0,88.0,17.0,924.9,11.6,1,1.0
183,9355,985603467845750784,1,18.7,82.0,15.6,932.7,0.2,1,1.0
184,9212,1055117500445310976,1,16.9,88.0,14.8,928.9,1.6,1,1.0
185,7339,824031732575993857,1,22.9,77.0,18.6,925.1,0.0,1,1.0
186,8111,851556215020806144,1,22.0,88.0,20.0,926.5,3.2,1,1.0
187,8191,860495740573024258,1,17.2,89.0,15.3,929.4,2.8,1,1.0
188,9145,1045376759229763584,1,22.9,72.0,17.7,923.4,0.0,1,1.0
189,6475,821377032315695104,1,19.7,85.0,17.1,922.8,6.2,1,1.0
190,8525,914253831978004481,1,16.1,89.0,14.3,919.1,8.8,1,1.0
191,8812,951559173078245381,1,21.3,80.0,17.7,926.3,0.2,1,1.0
192,9052,1024222209533980672,1,15.8,83.0,13.0,926.5,0.0,1,1.0
193,8879,968221986529988608,1,20.4,91.0,18.9,925.2,20.2,1,1.0
194,6440,1030549511888928768,1,15.8,74.0,11.2,934.3,0.0,1,1.0
195,6109,823944369178812416,1,27.8,49.0,16.2,924.4,0.0,1,1.0
196,5975,811868516798316544,1,20.5,76.0,16.1,927.6,0.0,1,1.0
197,7214,822983299593367552,1,17.6,88.0,15.5,927.9,1.2,1,1.0
198,8066,843093507837497344,1,21.0,76.0,16.7,929.1,0.0,1,1.0
199,9811,817800883589251073,1,19.3,89.0,17.3,925.4,33.8,1,1.0
200,7008,821755281897963520,1,20.2,89.0,18.3,923.4,18.8,1,1.0
201,8830,954827020017561600,1,21.9,88.0,19.8,926.0,4.4,1,1.0
202,6468,1055498866408198144,1,20.0,84.0,17.2,925.1,1.0,1,1.0
203,7125,822560972384694278,1,22.6,75.0,17.9,927.3,0.0,1,1.0
204,8815,952631881736052741,1,21.0,76.0,16.7,922.9,2.6,1,1.0
205,6683,808335261780295680,1,20.0,91.0,18.5,920.9,13.2,1,1.0
206,9160,1046514455914446849,1,19.5,88.0,17.5,925.5,4.4,1,1.0
207,7331,824009882575794177,1,22.8,75.0,18.1,923.8,0.0,1,1.0
208,9539,950122400070488066,1,19.3,77.0,15.1,926.6,0.0,1,1.0
209,8411,872093840760381440,1,18.8,86.0,16.3,929.9,1.2,1,1.0
210,6077,822553158186627073,1,22.6,75.0,17.9,927.3,0.0,1,1.0
211,7967,839243107313020928,1,16.9,90.0,15.3,926.2,25.8,1,1.0
212,8975,976173724402675712,1,20.7,85.0,18.0,922.8,7.2,1,1.0
213,8010,840294056794181638,1,25.5,61.0,17.3,924.1,0.0,1,1.0
214,7164,822912049625919488,1,18.0,91.0,16.5,926.8,6.2,1,1.0
215,6030,821377032315695104,1,19.7,85.0,17.1,922.8,6.2,1,1.0
216,7324,823981548546334720,1,29.6,46.0,16.7,923.1,0.0,1,1.0
217,7174,822919835835371521,1,18.0,91.0,16.5,926.8,6.2,1,1.0
218,8474,897832429813149697,1,16.4,85.0,14.0,930.1,0.0,1,1.0
219,7812,835968481140957184,1,21.9,77.0,17.7,924.6,0.0,1,1.0
220,7139,822591257671299074,1,19.7,90.0,18.0,928.4,5.4,1,1.0
221,9690,1046519595157385217,1,19.5,88.0,17.5,925.5,4.4,1,1.0
222,6846,818599371084283904,1,21.5,81.0,18.2,922.8,1.8,1,1.0
223,7351,824197588840808449,1,22.2,75.0,17.5,925.2,0.0,1,1.0
