,index,latitude,longitude,counts,cluster
1119,1119,-23.5407982,-46.7289,8,17
177,177,-23.5442197,-46.73038469999999,1,17
936,936,-23.5401177,-46.7329196,5,17
1099,1099,-23.5359677,-46.7262717,8,17
289,289,-23.5403599,-46.72940759999999,2,17
865,865,-23.5821024,-46.5925562,5,18
814,814,-23.5885879,-46.5894919,4,18
1197,1197,-23.5867387,-46.5902006,11,18
698,698,-23.5894878,-46.5882038,3,18
1310,1310,-23.5840865,-46.5843941,21,18
1383,1383,-23.584403,-46.5864655,34,18
982,982,-23.5843984,-46.5819068,6,18
534,534,-23.5872435,-46.5916083,2,18
1251,1251,-23.5862473,-46.58894229999999,13,18
846,846,-23.5845373,-46.5782809,4,18
252,252,-23.5827188,-46.5866282,2,18
88,88,-23.5849256,-46.5808679,1,18
87,87,-23.5849987,-46.5805906,1,18
1066,1066,-23.5477194,-46.56045870000001,7,19
306,306,-23.5550741,-46.5590254,2,19
151,151,-23.7102956,-46.6995047,1,20
145,145,-23.703218,-46.7012854,1,20
314,314,-23.5447737,-46.6471504,2,21
193,193,-23.5483872,-46.6432919,1,21
339,339,-23.5514031,-46.6469633,2,21
336,336,-23.55075110000001,-46.6418465,2,21
1064,1064,-23.5492334,-46.6442819,7,21
638,638,-23.5505413,-46.6448026,3,21
852,852,-23.5479106,-46.6500531,4,21
1319,1319,-23.5438681,-46.6455288,23,21
1259,1259,-23.5484316,-46.64296909999999,14,21
191,191,-23.5417577,-46.6478138,1,21
724,724,-23.5524145,-46.6470573,3,21
184,184,-23.5467879,-46.6504004,1,21
931,931,-23.546205,-46.644679,5,21
928,928,-23.5414492,-46.647657,5,21
570,570,-23.5505027,-46.644406,3,21
332,332,-23.550503,-46.646139,2,21
46,46,-23.550572100000004,-46.64804119999999,1,21
347,347,-23.5430818,-46.6464948,2,21
1415,1415,-23.5492156,-46.64075689999999,73,21
1205,1205,-23.5433336,-46.64550429999999,11,21
1270,1270,-23.50866730000001,-46.5552222,15,22
884,884,-23.5052068,-46.5616485,5,22
69,69,-23.509208800000003,-46.5556419,1,22
1195,1195,-23.53525,-46.5826757,11,23
921,921,-23.5368272,-46.5885956,5,23
599,599,-23.5349228,-46.57884,3,23
378,378,-23.5360337,-46.58579779999999,2,23
576,576,-23.5366178,-46.58894160000001,3,23
1226,1226,-23.5368667,-46.5932119,12,23
953,953,-23.5134939,-46.5184131,6,24
1288,1288,-23.514713,-46.5198876,18,24
74,74,-23.5189848,-46.5124106,1,24
533,533,-23.5150817,-46.5200828,2,24
545,545,-23.512902,-46.51834299999999,2,24
1006,1006,-23.5139836,-46.5222637,6,24
772,772,-23.5127517,-46.51837829999999,4,24
254,254,-23.516982100000003,-46.5162831,2,24
1362,1362,-23.5822667,-46.56294310000001,29,25
242,242,-23.5824676,-46.56287860000001,2,25
986,986,-23.5818297,-46.5619739,6,25
241,241,-23.58206400000001,-46.555408,2,25
246,246,-23.58257810000001,-46.5621605,2,25
248,248,-23.5825945,-46.564147,2,25
1122,1122,-23.5830108,-46.568617,8,25
682,682,-23.5830546,-46.5646211,3,25
1089,1089,-23.5249548,-46.6369973,7,26
1051,1051,-23.5213676,-46.6403982,7,26
1022,1022,-23.521595,-46.6384886,7,26
741,741,-23.524272600000003,-46.6402037,3,26
14,14,-23.5251783,-46.6361243,1,26
313,313,-23.5268198,-46.6350653,2,26
343,343,-23.5218332,-46.64157429999999,2,26
319,319,-23.5299203,-46.6420086,2,26
311,311,-23.527098100000003,-46.6353124,2,26
954,954,-23.51985,-46.6367498,6,26
505,505,-23.6826905,-46.69027929999999,2,27
498,498,-23.6814862,-46.69453490000001,2,27
1422,1422,-23.6841075,-46.691945,93,27
173,173,-23.6828019,-46.69041710000001,1,27
1404,1404,-23.6785963,-46.6850177,54,27
334,334,-23.5505283,-46.6009579,2,28
591,591,-23.544648100000003,-46.6056811,3,28
727,727,-23.551488,-46.6000948,3,28
988,988,-23.5500133,-46.60135229999999,6,28
1059,1059,-23.5520792,-46.5985942,7,28
331,331,-23.5481286,-46.602582700000006,2,28
730,730,-23.5507824,-46.5996521,3,28
872,872,-23.5479302,-46.6027783,5,28
1405,1405,-23.5476707,-46.6023316,55,28
840,840,-23.5472403,-46.6003592,4,28
295,295,-23.553051,-46.6561628,2,29
138,138,-23.555471,-46.645336,1,29
981,981,-23.5566408,-46.6510565,6,29
811,811,-23.5553996,-46.64961270000001,4,29
308,308,-23.55562,-46.6490798,2,29
1300,1300,-23.5557717,-46.64948270000001,20,29
32,32,-23.5556451,-46.6489311,1,29
342,342,-23.5563876,-46.6523551,2,29
33,33,-23.5556266,-46.64916210000001,1,29
1077,1077,-23.6714244,-46.740913600000006,7,30
817,817,-23.6756933,-46.7488761,4,30
635,635,-23.6722652,-46.7420503,3,30
217,217,-23.672131,-46.7416845,1,30
618,618,-23.6718682,-46.74204080000001,3,30
629,629,-23.6722242,-46.74264789999999,3,30
552,552,-23.6716305,-46.7419936,2,30
873,873,-23.5793251,-46.7102626,5,31
275,275,-23.5784988,-46.7088893,2,31
1044,1044,-23.5796747,-46.7015104,7,31
957,957,-23.5756985,-46.7030048,6,31
809,809,-23.5764224,-46.7076636,4,31
270,270,-23.5759891,-46.7029149,2,31
1037,1037,-23.5781011,-46.7021829,7,31
179,179,-23.4838328,-46.6875014,1,32
406,406,-23.4864975,-46.681624600000006,2,32
142,142,-23.4848058,-46.6800381,1,32
283,283,-23.581351,-46.393935,2,33
842,842,-23.574391,-46.3931267,4,33
238,238,-23.5383429,-46.46129420000001,2,34
1166,1166,-23.5374692,-46.45828770000001,10,34
1264,1264,-23.5411942,-46.457275,15,34
979,979,-23.5378537,-46.4560667,6,34
917,917,-23.5433434,-46.4625835,5,34
1304,1304,-23.5372818,-46.4570324,21,34
355,355,-23.5427074,-46.4623215,2,34
214,214,-23.5374478,-46.4547463,1,34
794,794,-23.5363974,-46.45760869999999,4,34
189,189,-23.537005,-46.4575904,1,34
369,369,-23.5363575,-46.4562165,2,34
614,614,-23.5332428,-46.453903,3,34
226,226,-23.54110750000001,-46.4564027,2,34
196,196,-23.5368234,-46.456554,1,34
174,174,-23.5383857,-46.456114,1,34
1075,1075,-23.5442054,-46.46051569999999,7,34
924,924,-23.53761230000001,-46.4559815,5,34
603,603,-23.534988,-46.454497,3,34
1365,1365,-23.5411767,-46.4592258,29,34
1235,1235,-23.5325864,-46.45055120000001,12,34
245,245,-23.5397041,-46.45773060000001,2,34
1356,1356,-23.5358864,-46.4560867,27,34
929,929,-23.5372436,-46.45792549999999,5,34
222,222,-23.5374724,-46.4581266,2,34
757,757,-23.5390303,-46.4583174,4,34
228,228,-23.541667,-46.4599308,2,34
237,237,-23.5370431,-46.4575624,2,34
292,292,-23.5418578,-46.4579575,2,34
150,150,-23.5388384,-46.5678866,1,35
997,997,-23.5442895,-46.5699637,6,35
604,604,-23.5440896,-46.56931489999999,3,35
305,305,-23.5350814,-46.56940720000001,2,35
938,938,-23.601849800000004,-46.6515005,5,36
1328,1328,-23.601553,-46.6509325,24,36
1088,1088,-23.6030974,-46.65128139999999,7,36
539,539,-23.5992475,-46.6600146,2,36
125,125,-23.5995236,-46.6507244,1,36
1375,1375,-23.599446,-46.65127879999999,32,36
121,121,-23.6024464,-46.6517698,1,36
