,longitude,latitude,dist_flood,dist_flood_lim
45,-46.7137542,-23.545822,695.6111,695.6111
46,-46.68757120000001,-23.5692895,471.7474,471.7474
47,-46.709162,-23.5710017,644.5771,644.5771
48,-46.7200902,-23.6000888,689.6232,689.6232
49,-46.5354164,-23.5504512,707.6483,707.6483
50,-46.6772609,-23.6928288,625.0028,625.0028
51,-46.6545554,-23.5349037,980.8426,980.8426
52,-46.7533042,-23.6112691,779.6568,779.6568
53,-46.6083995,-23.6139787,544.0341,544.0341
54,-46.71018839999999,-23.6460115,736.6768,736.6768
55,-46.6209509,-23.5927108,635.2969,635.2969
56,-46.65778770000001,-23.5612461,678.3356,678.3356
57,-46.6105105,-23.5116035,809.1683,809.1683
58,-46.72525870000001,-23.6674064,722.1827,722.1827
59,-46.7256629,-23.51635060000001,635.9919,635.9919
60,-46.67958460000001,-23.528455800000003,647.7595,647.7595
61,-46.6368084,-23.549848,644.3512,644.3512
62,-46.4059539,-23.4913385,686.6927,686.6927
63,-46.6969314,-23.6065062,505.2902,505.2902
64,-46.7253607,-23.6462723,764.1745,764.1745
65,-46.7368533,-23.6409193,509.9775,509.9775
66,-46.7065908,-23.6619281,913.9956,913.9956
67,-46.4752395,-23.5210238,657.9277,657.9277
68,-46.71150129999999,-23.5203912,548.8828,548.8828
69,-46.60988,-23.4937064,546.0415,546.0415
70,-46.6785864,-23.6208778,624.1197,624.1197
71,-46.53341079999999,-23.5981419,543.1534,543.1534
72,-46.4332973,-23.4920164,801.4651,801.4651
73,-46.7204539,-23.4308163,684.2086,684.2086
74,-46.61557029999999,-23.5184507,811.715,811.715
75,-46.6465188,-23.5679585,585.9388,585.9388
76,-46.6031956,-23.46275,649.4572,649.4572
77,-46.6998718,-23.5040888,638.6926,638.6926
78,-46.71244129999999,-23.679213,637.779,637.779
79,-46.5152762,-23.5289312,602.8219,602.8219
80,-46.6544014,-23.5835,546.0025,546.0025
81,-46.7146618,-23.7030879,458.085,458.085
82,-46.6767267,-23.6765104,383.3777,383.3777
83,-46.71010980000001,-23.4899722,572.0832,572.0832
84,-46.7530468,-23.4051744,480.3909,480.3909
85,-46.5522662,-23.5362269,614.4183,614.4183
86,-46.6906253,-23.538453,557.632,557.632
87,-46.3958755,-23.487968,463.5059,463.5059
88,-46.4719656,-23.5435798,359.3701,359.3701
89,-46.4839086,-23.5396697,660.2453,660.2453
90,-46.6966668,-23.5959732,722.9504,722.9504
91,-46.58101729999999,-23.6117463,642.7267,642.7267
92,-46.49517210000001,-23.48382,565.4492,565.4492
93,-46.6778872,-23.5641608,368.1226,368.1226
94,-46.6522231,-23.4646452,0.0,90.0
95,-46.664826700000006,-23.6064953,443.334,443.334
96,-46.5261307,-23.5480634,667.5179,667.5179
97,-46.6389973,-23.5621621,542.4801,542.4801
98,-46.6671251,-23.5738923,736.0453,736.0453
99,-46.5024468,-23.5754838,495.7512,495.7512
100,-46.67346939999999,-23.6397448,570.2775,570.2775
101,-46.60020189999999,-23.508741600000004,628.23,628.23
102,-46.68984,-23.5095435,676.3841,676.3841
103,-46.682744,-23.601353,657.5213,657.5213
104,-46.6761478,-23.5890433,602.8148,602.8148
105,-46.694135,-23.471309,0.0,90.0
106,-46.66728610000001,-23.586150600000003,619.9892,619.9892
107,-46.6983976,-23.6133909,596.2876,596.2876
108,-46.5982209,-23.588773,696.2422,696.2422
109,-46.7070624,-23.4986124,597.3303,597.3303
110,-46.687386,-23.62648410000001,463.5515,463.5515
111,-46.6141119,-23.5010073,308.6336,308.6336
112,-46.5926346,-23.5442834,571.2661,571.2661
113,-46.6412765,-23.5151388,506.6684,506.6684
114,-46.7558084,-23.48944310000001,490.1016,490.1016
115,-46.6113329,-23.5527902,165.9049,165.9049
116,-46.6666005,-23.5144809,738.9219,738.9219
117,-46.6968956,-23.6227181,623.1685,623.1685
118,-46.73483479999999,-23.4072366,210.4501,210.4501
119,-46.7045271,-23.5096545,547.2451,547.2451
120,-46.7357722,-23.534941,493.7818,493.7818
121,-46.6802674,-23.6856812,0.0,90.0
122,-46.48957070000001,-23.553779100000003,0.0,90.0
123,-46.5570546,-23.5250248,577.2974,577.2974
124,-46.5850775,-23.5282312,370.5987,370.5987
125,-46.41998820000001,-23.4941577,0.0,90.0
126,-46.7184776,-23.5541362,0.0,90.0
127,-46.4920896,-23.5813836,488.5032,488.5032
128,-46.6821686,-23.5169886,353.8848,353.8848
129,-46.6880682,-23.7500595,518.3395,518.3395
130,-46.516571,-23.5565299,417.887,417.887
131,-46.70996829999999,-23.6238787,432.7209,432.7209
132,-46.6183215,-23.5573938,670.3023,670.3023
133,-46.62883300000001,-23.577283,0.0,90.0
