,latitude,longitude,counts
371,-23.5885405,-46.67170309999999,1
1133,-23.5177018,-46.63060820000001,1
365,-23.5890433,-46.6761478,1
361,-23.5896449,-46.7016814,1
360,-23.5896733,-46.681125400000006,1
1174,-23.5148784,-46.4558687,1
143,-23.6447734,-46.7175488,1
326,-23.5981316,-46.6971496,1
1205,-23.5129232,-46.6528809,1
276,-23.6079512,-46.6647429,1
1237,-23.509816600000004,-46.5990251,1
1235,-23.510013600000004,-46.59636150000001,1
514,-23.5706163,-46.6909158,1
1232,-23.5103896,-46.7031168,1
1230,-23.5105156,-46.6943604,1
1056,-23.5221668,-46.6615044,1
1228,-23.5107179,-46.687375,1
510,-23.57107,-46.69101,1
288,-23.6054922,-46.6609089,1
1060,-23.5219881,-46.4557093,1
506,-23.5714865,-46.7398797,1
505,-23.57149200000001,-46.6660141,1
1070,-23.5213463,-46.6300105,1
1071,-23.5211082,-46.6673455,1
297,-23.6039559,-46.6928269,1
300,-23.6024464,-46.6517698,1
1084,-23.5203912,-46.71150129999999,1
319,-23.5992238,-46.6572894,1
480,-23.573301,-46.6983924,1
316,-23.5995236,-46.6507244,1
1083,-23.5205151,-46.701867,1
1082,-23.5206812,-46.5568603,1
1203,-23.513214399999995,-46.6249453,1
1080,-23.5207026,-46.6786399,1
1213,-23.5124758,-46.6898894,1
488,-23.572437,-46.70416710000001,1
492,-23.5723312,-46.6986407,1
493,-23.5722959,-46.604344,1
494,-23.572184,-46.7010993,1
1075,-23.5208309,-46.7003504,1
311,-23.6008582,-46.6535395,1
657,-23.54883,-46.63872,1
601,-23.555471,-46.645336,1
1369,-23.4847753,-46.37787720000001,1
1400,-23.457949,-46.6154467,1
814,-23.5388262,-46.6288375,1
1368,-23.4848058,-46.6800381,1
101,-23.6603743,-46.7021464,1
1431,-23.4038505,-46.7531618,1
20,-23.703218,-46.7012854,1
754,-23.5411766,-46.6445229,1
1366,-23.4851993,-46.45706420000001,1
777,-23.5402935,-46.6398243,1
891,-23.5356124,-46.65840009999999,1
813,-23.5388384,-46.5678866,1
17,-23.7102956,-46.6995047,1
894,-23.5353266,-46.6538783,1
75,-23.6653157,-46.6781231,1
689,-23.5451508,-46.5944562,1
1382,-23.4736193,-46.6696933,1
73,-23.6653914,-46.718691,1
904,-23.5347613,-46.6256236,1
711,-23.5437317,-46.4831817,1
1412,-23.4304279,-46.7205984,1
833,-23.5378736,-46.6490359,1
818,-23.538453,-46.6906253,1
739,-23.5418577,-46.41282289999999,1
88,-23.6625879,-46.706701,1
1376,-23.4785124,-46.6213303,1
821,-23.5383793,-46.6272903,1
1377,-23.4762159,-46.6723495,1
90,-23.66234630000001,-46.6794248,1
760,-23.5409439,-46.4841729,1
91,-23.662256,-46.706246,1
758,-23.5410307,-46.63932310000001,1
82,-23.6638785,-46.70995960000001,1
719,-23.5430627,-46.613782,1
31,-23.6828019,-46.69041710000001,1
820,-23.5383857,-46.456114,1
28,-23.688098,-46.7144513,1
81,-23.664009,-46.7080073,1
703,-23.5442197,-46.73038469999999,1
871,-23.5362918,-46.6433711,1
1370,-23.4838328,-46.6875014,1
1411,-23.4308163,-46.7204539,1
