,latitude,longitude,umidade
276,-23.6079512,-46.6647429,78.0
277,-23.6077583,-46.6973162,11484.0
278,-23.6075597,-46.7099695,223.0
279,-23.6072419,-46.69968309999999,348.0
280,-23.6071962,-46.6971499,366.0
281,-23.6071829,-46.6656996,340.0
282,-23.607038,-46.6376746,122.0
283,-23.6065062,-46.6969314,2582.0
284,-23.6064953,-46.664826700000006,161.0
285,-23.6057845,-46.54323770000001,342.0
286,-23.6056435,-46.6960709,372.0
287,-23.6056014,-46.6642102,594.0
288,-23.6054922,-46.6609089,73.0
289,-23.6053438,-46.6990833,916.0
290,-23.605116,-46.6964654,174.0
291,-23.604837600000003,-46.7081324,672.0
292,-23.604755,-46.66874139999999,178.0
293,-23.6047405,-46.66697429999999,174.0
294,-23.6046651,-46.6819479,100.0
295,-23.6042148,-46.7190064,325.0
296,-23.6040217,-46.6627277,501.0
297,-23.6039559,-46.6928269,72.0
298,-23.6031912,-46.6637589,199.0
299,-23.6030974,-46.65128139999999,539.0
300,-23.6024464,-46.6517698,85.0
301,-23.6023904,-46.69812839999999,177.0
302,-23.6021187,-46.65097280000001,632.0
303,-23.6019988,-46.7185669,263.0
304,-23.601849800000004,-46.6515005,436.0
305,-23.6018144,-46.6825006,199.0
306,-23.601553,-46.6509325,1880.0
307,-23.601353,-46.682744,223.0
308,-23.601201,-46.7185399,163.0
309,-23.6010771,-46.6540711,174.0
310,-23.6010331,-46.71854879999999,568.0
311,-23.6008582,-46.6535395,69.0
312,-23.6007074,-46.6513995,332.0
313,-23.6001593,-46.6588857,248.0
314,-23.6000888,-46.7200902,1744.0
315,-23.5995665,-46.6907539,1468.0
316,-23.5995236,-46.6507244,63.0
317,-23.599446,-46.65127879999999,2848.880597014925
318,-23.5992475,-46.6600146,174.0
319,-23.5992238,-46.6572894,72.0
320,-23.5989615,-46.7846665,539.0
321,-23.5989379,-46.6976231,304.0
322,-23.5989085,-46.437798,358.0
323,-23.59838,-46.57657929999999,411.0
324,-23.5982038,-46.7197589,263.0
325,-23.5981419,-46.53341079999999,288.0
326,-23.5981316,-46.6971496,88.0
327,-23.5974359,-46.6972704,13779.0
328,-23.5973979,-46.6173858,178.0
329,-23.5973316,-46.56526160000001,132.0
330,-23.5973031,-46.5960764,175.0
331,-23.596632,-46.6912263,163.0
332,-23.5961363,-46.67970560000001,175.0
333,-23.5959732,-46.6966668,190.0
334,-23.5956701,-46.6907813,88.0
335,-23.5955472,-46.5972196,613.0
336,-23.5954272,-46.5378422,91.0
337,-23.5945527,-46.610063,141.0
338,-23.5945207,-46.6935321,446.0
339,-23.5942651,-46.6949583,223.0
340,-23.5939636,-46.72115150000001,2171.0
341,-23.5930432,-46.73332509999999,600.0
342,-23.5927108,-46.6209509,636.0
343,-23.5921613,-46.7317735,149.0
344,-23.591603,-46.7309946,71.0
345,-23.5914551,-46.73090620000001,180.0
346,-23.5913425,-46.620676,85.0
347,-23.591296300000003,-46.6649432,351.0
348,-23.5910518,-46.7303598,352.0
349,-23.5910277,-46.6208019,78.0
350,-23.5908354,-46.60721239999999,216.0
351,-23.5907654,-46.73041920000001,2857.0
352,-23.590728100000003,-46.7034062,88.0
353,-23.5904283,-46.6912605,90.0
354,-23.5904137,-46.62013889999999,969.0
355,-23.590368,-46.7027571,157.0
356,-23.5903374,-46.7302593,353.0
357,-23.5902154,-46.5438071,600.0
358,-23.5899277,-46.5977819,184.0
359,-23.5898417,-46.6930118,1924.5806451612902
360,-23.5896733,-46.681125400000006,94.0
361,-23.5896449,-46.7016814,64.0
362,-23.589644,-46.7295291,182.0
363,-23.5894878,-46.5882038,262.0
